date,0 - 9,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+,Unbekannt
2020-02-24,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,1,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0,0,0
2020-02-29,0,0,2,1,0,0,0,0,0,0
2020-03-01,0,0,1,1,0,0,0,0,0,0
2020-03-02,0,0,1,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,1,0,0,0,0,0,0
2020-03-05,0,1,1,1,0,0,1,0,0,0
2020-03-06,0,0,1,1,2,0,0,0,0,0
2020-03-07,0,0,0,0,1,2,1,0,0,0
2020-03-08,0,0,1,0,0,0,0,1,0,0
2020-03-09,0,0,1,1,0,2,1,0,1,0
2020-03-10,1,1,0,4,5,2,3,0,1,0
2020-03-11,1,1,4,1,3,6,1,3,0,0
2020-03-12,1,0,0,2,3,8,1,0,1,0
2020-03-13,0,1,1,7,3,8,2,0,4,0
2020-03-14,0,0,3,4,4,9,1,4,0,0
2020-03-15,0,0,0,4,2,9,4,4,0,0
2020-03-16,0,2,9,12,11,17,11,4,2,2
2020-03-17,1,3,6,6,10,17,14,6,2,0
2020-03-18,0,5,12,9,11,22,8,5,4,0
2020-03-19,0,0,5,15,12,11,17,1,4,0
2020-03-20,0,3,3,8,11,13,11,9,4,0
2020-03-21,1,1,1,2,5,9,6,3,3,2
2020-03-22,0,2,2,4,1,6,5,4,4,0
2020-03-23,0,4,7,10,13,20,15,7,5,0
2020-03-24,1,2,8,7,10,16,14,8,6,0
2020-03-25,0,6,5,8,6,9,11,2,4,0
2020-03-26,0,3,6,7,7,11,3,8,7,1
2020-03-27,2,2,9,16,19,18,5,11,2,0
2020-03-28,0,0,5,6,5,6,3,7,2,0
2020-03-29,0,0,2,1,4,4,2,2,2,0
2020-03-30,0,1,13,9,9,13,14,4,7,0
2020-03-31,3,7,9,6,7,9,10,6,8,0
2020-04-01,0,4,10,4,12,7,7,5,3,0
2020-04-02,0,1,2,11,8,11,13,9,6,0
2020-04-03,1,3,10,8,8,9,8,7,9,0
2020-04-04,0,3,2,3,2,3,2,5,0,0
2020-04-05,0,0,1,0,0,1,3,0,3,0
2020-04-06,0,1,5,6,4,7,9,2,5,1
2020-04-07,0,1,5,6,7,7,5,1,3,0
2020-04-08,1,1,4,3,6,6,7,2,0,0
2020-04-09,1,1,3,3,2,5,6,5,1,0
2020-04-10,0,1,1,1,2,1,1,1,2,0
2020-04-11,0,0,2,2,2,0,1,2,0,0
2020-04-12,2,0,0,1,1,3,1,2,1,0
2020-04-13,0,0,1,2,1,1,1,0,0,0
2020-04-14,1,1,2,2,2,3,5,3,4,0
2020-04-15,0,2,2,1,2,0,1,2,1,0
2020-04-16,0,3,2,6,4,0,1,0,3,0
2020-04-17,0,1,0,0,4,0,1,0,1,0
2020-04-18,0,0,1,2,0,1,1,1,2,0
2020-04-19,1,2,0,1,0,1,0,0,0,0
2020-04-20,0,0,1,1,4,1,1,0,1,0
2020-04-21,0,0,1,3,4,1,0,2,2,0
2020-04-22,0,0,2,3,0,1,1,0,0,0
2020-04-23,0,0,0,3,2,3,1,1,0,0
2020-04-24,0,0,3,2,2,0,2,0,2,0
2020-04-25,0,0,2,1,1,0,1,0,3,0
2020-04-26,0,0,1,0,0,0,1,1,0,0
2020-04-27,0,0,1,3,1,1,1,0,0,0
2020-04-28,0,1,1,1,1,2,2,0,0,0
2020-04-29,1,0,2,0,0,1,0,0,0,0
2020-04-30,1,0,2,0,0,2,0,0,0,0
2020-05-01,0,0,0,0,0,0,0,0,0,0
2020-05-02,0,0,0,0,0,0,0,0,0,0
2020-05-03,0,0,0,0,0,0,0,0,0,0
2020-05-04,0,0,5,1,0,1,1,2,0,0
2020-05-05,0,1,1,2,2,3,1,0,0,0
2020-05-06,1,0,1,1,0,2,0,0,1,0
2020-05-07,1,0,0,0,0,1,0,0,0,0
2020-05-08,0,1,0,0,1,0,0,0,0,0
2020-05-09,0,0,0,0,0,0,0,0,0,0
2020-05-10,0,1,0,0,0,1,0,0,0,0
2020-05-11,0,0,0,1,1,0,1,0,0,0
2020-05-12,0,0,1,0,0,1,1,0,0,0
2020-05-13,0,0,0,1,0,0,0,0,0,0
2020-05-14,0,1,0,0,1,0,0,1,0,0
2020-05-15,0,0,0,0,1,0,0,1,0,0
2020-05-16,0,0,0,0,1,0,0,0,0,0
2020-05-17,0,0,0,0,0,1,1,0,0,0
2020-05-18,0,0,0,0,0,0,0,0,0,0
2020-05-19,0,0,0,0,0,0,0,0,0,0
2020-05-20,0,0,0,0,0,1,0,0,0,0
2020-05-21,0,0,0,0,1,0,0,0,0,0
2020-05-22,0,0,0,0,0,0,0,1,0,0
2020-05-23,0,0,1,0,0,0,0,0,0,0
2020-05-24,0,0,0,0,0,0,0,0,0,0
2020-05-25,0,0,0,1,0,1,1,0,0,0
2020-05-26,0,1,0,0,1,0,0,0,0,0
2020-05-27,1,0,0,1,1,0,0,0,0,0
2020-05-28,0,2,0,0,0,0,0,0,0,0
2020-05-29,0,0,0,0,0,0,0,1,0,0
2020-05-30,0,0,0,0,2,0,0,0,0,0
2020-05-31,0,0,0,0,0,0,0,0,0,0
2020-06-01,0,0,0,0,0,0,0,0,0,0
2020-06-02,0,0,0,0,0,0,0,0,0,0
2020-06-03,1,4,2,1,0,0,0,0,0,0
2020-06-04,0,0,0,1,0,0,0,0,0,0
2020-06-05,1,0,0,1,0,0,0,0,0,0
2020-06-06,0,0,0,0,0,0,0,0,0,0
2020-06-07,0,0,0,0,0,0,0,0,0,0
2020-06-08,0,0,0,0,0,0,1,0,0,0
2020-06-09,0,0,1,0,0,0,0,0,0,0
2020-06-10,0,0,0,0,0,0,0,0,0,0
2020-06-11,2,0,0,0,1,0,0,0,0,0
2020-06-12,0,0,0,1,2,0,0,0,0,0
2020-06-13,0,0,0,2,0,0,0,0,0,0
2020-06-14,1,0,1,0,0,0,1,1,1,0
2020-06-15,0,2,1,0,0,2,0,0,0,0
2020-06-16,0,0,1,1,0,0,0,0,0,0
2020-06-17,0,0,0,1,0,0,0,0,0,0
2020-06-18,0,0,0,0,0,0,1,0,0,0
2020-06-19,0,1,0,2,0,0,0,0,0,0
2020-06-20,0,0,1,0,1,2,0,1,0,0
2020-06-21,0,0,1,0,0,0,0,0,0,0
2020-06-22,0,0,2,1,1,0,0,0,0,0
2020-06-23,0,0,1,0,1,0,1,0,0,0
2020-06-24,2,0,2,1,1,1,0,0,0,0
2020-06-25,0,0,5,3,1,0,0,0,0,0
2020-06-26,0,2,6,5,4,1,1,0,0,0
2020-06-27,0,0,0,3,0,2,0,0,0,0
2020-06-28,0,0,0,0,0,0,0,0,0,0
2020-06-29,0,2,4,8,4,3,1,0,1,0
2020-06-30,1,1,10,5,6,3,4,0,1,0
2020-07-01,0,4,6,3,5,2,1,0,0,0
2020-07-02,0,2,8,3,1,6,2,0,0,0
2020-07-03,0,0,2,3,2,1,0,1,1,0
2020-07-04,0,0,0,0,0,1,1,0,0,0
2020-07-05,0,0,3,0,1,1,1,0,1,0
2020-07-06,0,0,3,1,1,1,3,0,0,0
2020-07-07,1,0,7,4,1,3,0,1,0,0
2020-07-08,0,0,2,3,1,1,1,1,0,0
2020-07-09,0,0,5,1,2,0,1,0,0,0
2020-07-10,0,2,6,4,2,1,2,0,0,0
2020-07-11,1,2,0,4,1,3,2,0,1,0
2020-07-12,0,1,1,1,0,0,1,0,0,0
2020-07-13,0,0,0,3,2,2,1,0,0,0
2020-07-14,0,0,3,3,1,4,1,1,0,0
2020-07-15,0,0,5,3,1,1,2,0,0,0
2020-07-16,0,1,3,2,2,1,3,0,1,0
2020-07-17,0,0,3,2,2,0,0,0,0,0
2020-07-18,0,0,4,3,2,4,1,3,0,0
2020-07-19,0,0,2,1,1,0,0,0,1,0
2020-07-20,1,1,3,7,2,3,0,2,1,0
2020-07-21,0,0,6,2,1,3,2,1,0,0
2020-07-22,0,0,1,4,4,1,2,0,1,0
2020-07-23,0,0,2,5,1,0,2,0,0,0
2020-07-24,0,2,3,2,0,2,1,0,1,0
2020-07-25,0,1,0,1,1,2,1,1,0,0
2020-07-26,0,0,1,1,0,1,0,1,0,0
2020-07-27,0,1,6,5,2,4,4,0,0,0
2020-07-28,0,1,2,4,2,0,1,0,0,0
2020-07-29,1,1,5,1,0,2,3,0,0,0
2020-07-30,0,0,7,4,1,3,3,0,0,0
2020-07-31,0,1,4,2,2,3,2,1,0,0
2020-08-01,0,0,0,2,2,1,3,0,0,0
2020-08-02,0,1,1,2,0,1,1,0,0,0
2020-08-03,0,0,2,3,1,1,2,2,2,0
2020-08-04,2,3,7,2,3,4,2,0,0,0
2020-08-05,2,0,2,6,4,2,2,0,0,0
2020-08-06,1,1,3,4,2,4,1,0,0,0
2020-08-07,0,3,7,5,3,3,3,0,0,0
2020-08-08,0,3,8,3,1,4,1,2,0,0
2020-08-09,1,0,2,1,4,0,1,0,0,0
2020-08-10,0,0,10,3,4,4,4,0,0,0
2020-08-11,2,1,11,6,4,3,0,1,0,0
2020-08-12,0,4,8,6,4,0,3,0,0,0
2020-08-13,1,2,9,9,4,4,1,2,0,0
2020-08-14,0,7,16,4,4,1,0,0,0,0
2020-08-15,0,2,13,3,3,2,1,0,0,0
2020-08-16,1,2,5,7,2,3,1,0,0,0
2020-08-17,3,4,11,10,5,2,0,0,0,0
2020-08-18,4,5,9,12,4,4,2,1,0,0
2020-08-19,0,8,15,8,3,2,3,0,0,0
2020-08-20,0,6,12,10,7,1,3,0,0,0
2020-08-21,0,7,8,12,4,4,1,1,0,0
2020-08-22,0,1,4,5,2,1,1,1,0,0
2020-08-23,0,1,9,0,2,3,0,0,0,0
2020-08-24,0,1,7,11,0,2,2,2,0,0
2020-08-25,2,5,12,6,7,3,5,1,1,0
2020-08-26,2,6,11,10,9,6,0,1,0,0
2020-08-27,2,4,15,7,8,6,1,0,0,0
2020-08-28,1,1,17,15,4,5,3,2,1,0
2020-08-29,0,4,8,4,3,2,2,2,0,0
2020-08-30,0,1,0,4,1,3,2,0,0,0
2020-08-31,2,5,15,12,3,2,4,0,1,0
2020-09-01,0,1,10,12,11,4,0,0,0,0
2020-09-02,0,2,11,14,6,6,2,1,1,0
2020-09-03,0,3,22,14,8,4,1,2,0,0
2020-09-04,1,1,13,7,5,2,2,0,0,0
2020-09-05,0,2,11,8,2,5,3,1,0,0
2020-09-06,0,2,5,2,3,2,2,0,0,0
2020-09-07,0,2,10,6,9,2,2,0,3,0
2020-09-08,0,0,8,6,7,3,3,1,0,0
2020-09-09,0,5,7,9,8,2,0,3,2,0
2020-09-10,3,3,9,9,8,4,2,4,0,0
2020-09-11,0,2,10,15,4,6,3,6,1,0
2020-09-12,0,4,3,4,7,2,2,1,0,0
2020-09-13,0,0,0,4,4,2,1,0,0,0
2020-09-14,0,1,8,8,7,13,5,1,0,0
2020-09-15,0,4,7,7,6,5,3,2,0,0
2020-09-16,1,3,6,12,5,5,1,1,1,0
2020-09-17,0,6,5,10,7,5,2,2,1,0
2020-09-18,1,0,9,12,4,2,2,2,0,0
2020-09-19,0,7,10,7,2,4,2,1,0,0
2020-09-20,0,1,5,5,0,2,0,0,0,0
2020-09-21,0,0,5,7,2,3,1,1,0,0
2020-09-22,1,0,5,7,7,8,1,0,1,0
2020-09-23,1,1,9,15,10,2,1,2,0,0
2020-09-24,0,0,1,5,1,2,1,1,0,0
2020-09-25,1,3,5,9,13,11,3,3,1,0
2020-09-26,1,2,1,5,6,5,3,3,0,0
2020-09-27,0,1,2,0,2,2,2,0,0,0
2020-09-28,0,2,8,7,7,10,4,0,0,0
2020-09-29,1,4,6,15,14,4,1,0,0,0
2020-09-30,1,5,18,23,11,7,5,2,2,0
2020-10-01,2,7,24,22,18,8,4,1,1,0
2020-10-02,1,4,28,19,21,12,6,3,1,0
2020-10-03,1,8,24,22,10,7,3,2,2,0
2020-10-04,0,5,8,8,4,2,0,0,2,0
2020-10-05,1,6,21,20,11,8,7,2,0,0
2020-10-06,2,6,27,23,20,13,7,3,1,0
2020-10-07,1,12,23,17,10,17,7,7,0,0
2020-10-08,0,11,39,49,18,17,11,4,1,0
2020-10-09,1,10,47,38,23,20,6,4,5,0
2020-10-10,2,14,28,39,15,19,7,2,3,0
2020-10-11,0,3,10,9,5,6,1,1,2,0
2020-10-12,0,0,0,0,0,0,0,0,1,0
