date,0 - 9,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+,Unbekannt
2020-02-24,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,1,0,0,0,0,0,0,0
2020-02-28,0,0,1,1,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,1,1,0,0,0
2020-03-06,0,0,1,1,1,2,0,0,0,0
2020-03-07,0,0,0,0,1,3,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0,2,0
2020-03-09,0,0,4,3,6,0,1,2,1,0
2020-03-10,0,0,0,4,0,1,1,1,0,0
2020-03-11,0,0,1,5,5,4,2,1,2,0
2020-03-12,0,0,5,6,6,5,5,0,4,0
2020-03-13,0,0,5,12,8,8,4,3,4,0
2020-03-14,0,2,4,3,9,4,4,2,2,0
2020-03-15,0,0,0,4,3,3,2,4,3,0
2020-03-16,0,0,10,13,18,9,15,4,4,0
2020-03-17,0,6,10,19,15,20,12,7,9,0
2020-03-18,0,4,18,11,14,24,6,6,4,0
2020-03-19,0,3,1,4,10,4,0,1,8,0
2020-03-20,0,0,6,8,3,6,1,4,2,0
2020-03-21,0,2,4,16,17,16,10,9,10,2
2020-03-22,0,0,3,6,12,7,7,7,3,0
2020-03-23,0,1,16,19,28,20,11,8,6,1
2020-03-24,0,2,6,14,14,21,5,5,5,0
2020-03-25,0,2,9,17,12,15,4,6,9,0
2020-03-26,0,1,16,23,23,25,6,6,24,0
2020-03-27,0,1,7,13,14,16,9,12,25,0
2020-03-28,1,5,19,19,25,18,15,4,15,0
2020-03-29,0,2,8,11,8,10,8,4,6,0
2020-03-30,2,0,9,28,32,22,9,9,24,0
2020-03-31,2,2,14,19,41,30,11,14,23,0
2020-04-01,0,2,20,18,36,32,21,8,20,0
2020-04-02,0,8,17,27,31,23,8,6,22,0
2020-04-03,0,2,14,15,19,27,5,6,21,0
2020-04-04,1,3,5,13,12,17,5,2,12,0
2020-04-05,1,2,12,5,5,8,2,2,3,0
2020-04-06,1,1,17,11,19,24,7,7,12,0
2020-04-07,1,3,15,15,22,18,8,8,13,0
2020-04-08,0,2,10,10,10,20,2,6,13,0
2020-04-09,0,0,5,12,15,14,6,3,12,0
2020-04-10,3,1,2,3,8,3,1,2,3,0
2020-04-11,0,0,4,2,8,4,2,2,7,0
2020-04-12,0,0,2,1,3,8,2,3,2,0
2020-04-13,0,3,7,8,6,9,2,1,3,0
2020-04-14,0,1,6,4,12,7,4,4,14,0
2020-04-15,0,1,8,9,4,4,1,1,6,0
2020-04-16,0,1,6,6,6,6,2,1,5,1
2020-04-17,0,2,9,10,6,9,4,0,2,0
2020-04-18,0,0,5,2,3,2,1,0,7,0
2020-04-19,1,0,3,4,1,1,0,0,1,0
2020-04-20,2,3,3,1,3,5,1,0,2,0
2020-04-21,0,0,4,0,5,4,0,1,3,0
2020-04-22,0,0,1,3,1,2,4,0,5,0
2020-04-23,0,1,2,2,8,4,1,0,3,0
2020-04-24,0,0,1,6,1,2,2,0,0,0
2020-04-25,0,0,0,3,1,3,0,0,1,0
2020-04-26,0,1,2,1,0,1,0,0,0,0
2020-04-27,0,0,5,1,3,0,1,0,3,0
2020-04-28,1,0,2,1,2,3,0,0,2,0
2020-04-29,0,1,1,3,1,3,0,0,0,0
2020-04-30,0,1,1,1,1,1,0,1,3,0
2020-05-01,0,1,2,1,1,1,1,0,1,0
2020-05-02,0,0,0,1,0,1,0,0,0,0
2020-05-03,0,0,0,1,0,1,0,0,0,0
2020-05-04,0,0,2,1,3,0,1,0,1,0
2020-05-05,0,0,2,1,1,2,0,2,0,0
2020-05-06,1,0,1,0,1,1,0,0,2,0
2020-05-07,0,0,1,0,0,0,0,0,0,0
2020-05-08,0,0,0,0,0,0,0,0,0,0
2020-05-09,1,0,0,0,1,0,0,0,0,0
2020-05-10,0,0,0,0,0,0,0,0,1,0
2020-05-11,0,1,0,0,1,0,0,0,2,0
2020-05-12,0,0,2,0,0,1,0,0,0,0
2020-05-13,0,0,0,1,0,0,1,0,0,0
2020-05-14,0,0,0,0,1,2,1,0,0,0
2020-05-15,0,0,0,0,0,1,0,0,0,0
2020-05-16,0,0,0,1,0,0,0,0,0,0
2020-05-17,0,0,0,0,0,1,0,0,0,0
2020-05-18,1,0,0,0,0,0,0,0,0,0
2020-05-19,0,0,0,0,0,0,0,0,0,0
2020-05-20,0,1,2,0,1,0,0,0,0,0
2020-05-21,0,0,0,0,0,2,0,0,0,0
2020-05-22,1,0,0,0,0,0,0,0,0,0
2020-05-23,0,0,0,1,0,0,0,1,1,0
2020-05-24,0,0,0,0,0,0,0,0,0,0
2020-05-25,0,0,0,0,0,0,0,0,0,0
2020-05-26,0,0,0,0,0,1,0,0,0,0
2020-05-27,0,0,0,0,0,0,0,0,0,0
2020-05-28,0,0,0,2,0,1,0,0,0,0
2020-05-29,0,0,1,1,2,0,0,0,0,0
2020-05-30,0,0,0,0,1,1,0,0,0,0
2020-05-31,0,0,0,0,0,0,0,0,0,0
2020-06-01,0,0,1,0,0,0,0,0,0,0
2020-06-02,0,0,0,0,0,0,0,0,1,0
2020-06-03,0,0,0,0,0,0,0,0,0,0
2020-06-04,0,0,0,0,0,0,0,0,0,0
2020-06-05,0,0,0,0,0,0,1,0,0,0
2020-06-06,0,0,1,0,0,0,0,0,1,0
2020-06-07,0,0,0,0,0,0,0,0,0,0
2020-06-08,0,0,0,0,0,0,0,0,0,0
2020-06-09,0,0,0,0,0,0,0,0,0,0
2020-06-10,1,0,0,0,0,0,0,0,0,0
2020-06-11,0,0,0,0,0,0,0,0,0,0
2020-06-12,0,0,0,1,0,0,1,0,0,0
2020-06-13,0,0,0,0,0,0,0,0,0,0
2020-06-14,0,0,0,0,0,0,0,0,0,0
2020-06-15,0,0,0,0,0,0,0,0,0,0
2020-06-16,0,0,0,0,0,0,0,0,0,0
2020-06-17,0,0,1,0,0,0,0,0,0,0
2020-06-18,0,0,0,1,0,1,0,0,0,0
2020-06-19,0,1,0,0,0,0,0,0,0,0
2020-06-20,0,0,0,0,0,0,0,0,0,0
2020-06-21,0,0,0,0,0,0,0,0,0,0
2020-06-22,0,0,0,0,0,0,0,0,0,0
2020-06-23,1,0,0,0,0,1,0,0,0,0
2020-06-24,0,0,1,1,0,0,0,0,0,0
2020-06-25,0,0,0,1,0,0,0,0,0,0
2020-06-26,0,0,0,0,0,0,0,0,0,0
2020-06-27,0,0,0,0,0,1,0,0,0,0
2020-06-28,0,0,0,0,0,0,0,0,0,0
2020-06-29,0,0,1,0,0,3,1,0,0,0
2020-06-30,0,0,1,0,0,0,1,1,0,0
2020-07-01,0,0,0,0,0,0,0,0,0,0
2020-07-02,0,0,2,0,1,1,0,0,0,0
2020-07-03,0,0,0,0,0,0,0,0,0,0
2020-07-04,0,0,1,0,0,0,0,0,0,0
2020-07-05,0,0,0,0,1,0,0,0,0,0
2020-07-06,0,0,0,0,1,0,1,0,0,0
2020-07-07,0,0,2,0,0,0,0,0,0,0
2020-07-08,0,0,0,0,1,1,0,0,0,0
2020-07-09,0,0,1,1,0,0,0,0,0,0
2020-07-10,1,2,0,0,0,1,0,0,0,0
2020-07-11,0,1,2,0,0,0,1,0,0,0
2020-07-12,0,0,1,0,0,0,0,0,0,0
2020-07-13,0,0,0,0,1,0,1,0,0,0
2020-07-14,0,1,1,1,0,1,0,0,0,0
2020-07-15,1,0,1,4,2,0,1,0,0,0
2020-07-16,2,0,1,2,2,1,0,0,0,0
2020-07-17,0,0,1,5,1,0,0,0,0,0
2020-07-18,0,0,3,0,1,0,0,0,1,0
2020-07-19,0,0,2,1,0,0,0,0,0,0
2020-07-20,0,0,1,2,1,0,2,0,0,0
2020-07-21,0,1,9,4,3,3,0,2,0,0
2020-07-22,0,3,4,2,0,2,3,1,0,0
2020-07-23,1,2,8,5,5,2,1,0,0,0
2020-07-24,0,4,12,3,1,3,2,0,0,0
2020-07-25,2,0,7,2,5,0,1,0,0,0
2020-07-26,1,1,4,0,1,0,0,1,0,0
2020-07-27,0,6,13,4,3,1,3,0,1,0
2020-07-28,0,4,14,3,5,2,1,0,1,0
2020-07-29,0,1,17,4,8,2,1,0,0,0
2020-07-30,1,2,7,3,5,1,1,2,0,0
2020-07-31,1,1,5,5,4,2,1,0,0,0
2020-08-01,0,2,3,3,2,1,0,1,0,0
2020-08-02,0,0,4,3,3,2,0,0,0,0
2020-08-03,0,2,3,4,5,4,0,0,0,0
2020-08-04,0,2,5,5,3,4,1,1,0,0
2020-08-05,0,2,2,5,2,4,0,0,0,0
2020-08-06,0,1,6,4,4,2,1,0,0,0
2020-08-07,0,3,4,4,2,6,2,0,0,0
2020-08-08,0,1,4,3,2,1,0,0,0,0
2020-08-09,0,4,6,7,4,1,0,0,0,0
2020-08-10,0,5,8,10,5,2,1,1,0,0
2020-08-11,0,3,9,5,4,2,3,0,0,0
2020-08-12,1,5,3,2,5,3,1,0,1,0
2020-08-13,0,1,2,6,1,7,0,0,1,0
2020-08-14,0,2,3,5,1,2,0,1,0,0
2020-08-15,0,5,3,1,2,1,0,0,0,0
2020-08-16,0,1,2,3,6,2,0,0,1,0
2020-08-17,2,3,3,2,2,5,1,0,0,0
2020-08-18,0,1,2,5,5,1,0,0,0,0
2020-08-19,0,3,5,4,4,1,0,0,1,0
2020-08-20,0,0,9,7,2,0,1,0,1,0
2020-08-21,0,3,5,3,5,0,1,0,0,0
2020-08-22,0,3,1,2,4,3,2,0,0,0
2020-08-23,0,0,5,1,2,0,1,0,0,0
2020-08-24,0,2,2,3,1,2,0,0,1,0
2020-08-25,0,7,7,2,4,2,0,1,0,0
2020-08-26,0,3,5,3,4,4,0,0,1,0
2020-08-27,0,1,4,3,2,5,0,0,1,0
2020-08-28,6,3,5,3,2,5,3,0,3,0
2020-08-29,1,2,9,6,3,2,0,0,1,0
2020-08-30,3,2,3,3,2,4,2,0,0,0
2020-08-31,2,2,9,10,2,3,0,0,2,0
2020-09-01,2,0,5,8,3,4,1,1,1,0
2020-09-02,2,0,9,8,8,6,0,0,1,0
2020-09-03,2,1,3,7,2,5,1,0,0,0
2020-09-04,0,2,4,9,0,3,1,1,1,0
2020-09-05,1,1,4,4,7,3,1,1,1,0
2020-09-06,0,1,1,1,1,1,1,0,0,0
2020-09-07,2,2,2,7,5,3,0,1,3,0
2020-09-08,0,1,6,5,2,3,3,0,2,0
2020-09-09,2,2,6,7,11,7,2,0,1,0
2020-09-10,0,3,6,4,5,2,0,2,3,0
2020-09-11,1,3,4,6,12,4,0,1,3,0
2020-09-12,0,3,7,4,6,1,1,0,1,0
2020-09-13,0,3,6,1,6,0,0,1,0,0
2020-09-14,0,1,9,6,8,7,3,0,5,0
2020-09-15,0,3,3,6,8,5,4,1,2,0
2020-09-16,0,3,7,8,7,5,1,3,1,0
2020-09-17,0,5,7,8,8,3,1,0,0,0
2020-09-18,0,5,8,2,7,5,4,2,0,0
2020-09-19,1,2,8,8,5,1,0,2,1,0
2020-09-20,0,1,7,4,5,2,1,0,0,0
2020-09-21,0,3,7,3,5,4,2,3,1,0
2020-09-22,0,4,3,8,8,8,2,1,1,0
2020-09-23,1,1,9,10,5,1,3,1,0,0
2020-09-24,0,1,6,7,3,1,1,3,2,0
2020-09-25,0,1,3,3,5,2,3,1,4,0
2020-09-26,0,2,1,2,0,3,1,1,2,0
2020-09-27,1,0,3,2,0,3,0,1,2,0
2020-09-28,0,1,4,6,4,7,2,0,2,0
2020-09-29,0,0,7,9,4,6,2,1,3,0
2020-09-30,0,0,7,9,5,5,1,0,3,0
2020-10-01,1,0,9,10,3,10,3,1,3,0
2020-10-02,0,1,4,5,8,9,3,4,10,0
2020-10-03,0,1,6,8,4,3,5,2,3,0
2020-10-04,0,1,5,3,1,1,1,0,2,0
2020-10-05,0,1,21,11,13,4,5,3,2,0
2020-10-06,0,5,13,11,12,8,4,7,1,0
2020-10-07,0,7,9,20,18,11,8,2,1,0
2020-10-08,0,4,18,16,14,14,3,2,2,0
2020-10-09,0,12,26,17,30,21,5,2,3,0
2020-10-10,0,7,14,12,22,16,6,4,5,0
2020-10-11,0,3,11,12,9,12,4,1,5,0
2020-10-12,1,16,31,36,28,20,6,10,5,0
2020-10-13,3,14,28,33,33,17,11,4,8,0
2020-10-14,2,9,36,33,33,33,10,3,6,0
2020-10-15,3,8,40,42,38,25,16,10,13,0
2020-10-16,2,22,50,33,40,34,17,13,13,0
2020-10-17,1,11,20,35,19,18,9,1,2,0
2020-10-18,1,7,18,22,13,15,6,3,8,0
2020-10-19,0,22,57,53,47,42,19,19,23,0
2020-10-20,2,17,59,73,63,70,28,22,18,0
2020-10-21,3,13,56,75,71,56,27,26,19,0
2020-10-22,2,25,89,85,83,72,43,30,35,0
2020-10-23,1,28,97,96,93,83,31,30,34,0
2020-10-24,2,16,46,38,44,26,19,15,16,0
2020-10-25,2,11,42,41,36,32,11,4,14,0
2020-10-26,5,23,80,70,67,63,22,14,14,0
2020-10-27,0,1,0,0,0,0,1,0,0,0
