date,0 - 9,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+,Unbekannt
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0
2020-03-03,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0
2020-03-05,0.0,0.0,0.0,1.0,2.0,4.0,3.0,1.0,0.0,0.0
2020-03-06,0.0,0.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0
2020-03-07,0.0,0.0,0.0,0.0,1.0,5.0,1.0,3.0,1.0,0.0
2020-03-08,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,2.0,0.0
2020-03-09,0.0,1.0,1.0,3.0,6.0,7.0,8.0,7.0,3.0,0.0
2020-03-10,0.0,1.0,6.0,7.0,4.0,5.0,8.0,5.0,4.0,0.0
2020-03-11,0.0,1.0,17.0,11.0,12.0,11.0,10.0,10.0,2.0,0.0
2020-03-12,0.0,1.0,16.0,6.0,15.0,10.0,15.0,4.0,8.0,0.0
2020-03-13,0.0,2.0,8.0,8.0,23.0,13.0,14.0,17.0,12.0,0.0
2020-03-14,0.0,0.0,13.0,16.0,10.0,27.0,10.0,18.0,13.0,0.0
2020-03-15,0.0,0.0,11.0,15.0,14.0,23.0,11.0,9.0,9.0,0.0
2020-03-16,1.0,5.0,12.0,38.0,36.0,52.0,39.0,31.0,24.0,0.0
2020-03-17,2.0,3.0,21.0,43.0,44.0,36.0,37.0,27.0,35.0,0.0
2020-03-18,2.0,6.0,30.0,43.0,52.0,49.0,41.0,26.0,21.0,0.0
2020-03-19,1.0,5.0,22.0,34.0,33.0,44.0,29.0,24.0,25.0,0.0
2020-03-20,1.0,4.0,26.0,28.0,36.0,51.0,37.0,30.0,28.0,1.0
2020-03-21,0.0,2.0,18.0,12.0,18.0,21.0,20.0,18.0,12.0,0.0
2020-03-22,0.0,3.0,16.0,15.0,13.0,20.0,13.0,16.0,9.0,0.0
2020-03-23,0.0,7.0,25.0,43.0,51.0,77.0,44.0,29.0,35.0,0.0
2020-03-24,0.0,8.0,29.0,29.0,39.0,56.0,42.0,27.0,41.0,1.0
2020-03-25,1.0,3.0,29.0,25.0,31.0,32.0,31.0,15.0,27.0,0.0
2020-03-26,0.0,2.0,23.0,24.0,34.0,39.0,29.0,19.0,36.0,0.0
2020-03-27,0.0,5.0,23.0,31.0,28.0,61.0,31.0,22.0,37.0,0.0
2020-03-28,1.0,2.0,7.0,12.0,15.0,26.0,18.0,18.0,33.0,0.0
2020-03-29,0.0,3.0,10.0,9.0,18.0,18.0,9.0,11.0,10.0,0.0
2020-03-30,0.0,4.0,29.0,20.0,28.0,53.0,26.0,21.0,33.0,0.0
2020-03-31,0.0,5.0,19.0,16.0,22.0,37.0,25.0,16.0,22.0,0.0
2020-04-01,0.0,2.0,14.0,14.0,20.0,34.0,19.0,17.0,31.0,2.0
2020-04-02,0.0,2.0,20.0,17.0,22.0,31.0,13.0,9.0,22.0,0.0
2020-04-03,0.0,6.0,10.0,11.0,29.0,27.0,16.0,10.0,28.0,0.0
2020-04-04,1.0,0.0,13.0,5.0,11.0,14.0,7.0,10.0,11.0,0.0
2020-04-05,0.0,0.0,4.0,7.0,6.0,8.0,4.0,3.0,9.0,0.0
2020-04-06,0.0,1.0,16.0,12.0,15.0,19.0,12.0,18.0,25.0,1.0
2020-04-07,0.0,0.0,13.0,13.0,11.0,20.0,7.0,8.0,10.0,0.0
2020-04-08,0.0,4.0,20.0,9.0,10.0,12.0,11.0,9.0,18.0,1.0
2020-04-09,0.0,4.0,9.0,6.0,9.0,18.0,11.0,8.0,31.0,1.0
2020-04-10,0.0,1.0,4.0,7.0,10.0,6.0,3.0,9.0,9.0,0.0
2020-04-11,0.0,1.0,4.0,7.0,3.0,4.0,5.0,4.0,12.0,0.0
2020-04-12,0.0,0.0,5.0,8.0,6.0,3.0,3.0,3.0,11.0,0.0
2020-04-13,0.0,1.0,8.0,5.0,6.0,9.0,3.0,2.0,10.0,0.0
2020-04-14,0.0,1.0,9.0,11.0,8.0,5.0,7.0,5.0,24.0,0.0
2020-04-15,0.0,2.0,5.0,6.0,8.0,6.0,3.0,2.0,19.0,0.0
2020-04-16,0.0,0.0,9.0,3.0,5.0,2.0,1.0,1.0,9.0,0.0
2020-04-17,0.0,0.0,6.0,6.0,3.0,2.0,3.0,4.0,9.0,0.0
2020-04-18,0.0,1.0,1.0,2.0,6.0,1.0,3.0,1.0,4.0,0.0
2020-04-19,0.0,0.0,0.0,1.0,0.0,7.0,0.0,1.0,2.0,0.0
2020-04-20,0.0,0.0,5.0,7.0,4.0,5.0,2.0,1.0,9.0,0.0
2020-04-21,0.0,0.0,6.0,3.0,4.0,7.0,3.0,2.0,7.0,0.0
2020-04-22,0.0,0.0,6.0,3.0,2.0,2.0,2.0,1.0,6.0,0.0
2020-04-23,0.0,0.0,3.0,5.0,5.0,6.0,1.0,2.0,9.0,0.0
2020-04-24,1.0,0.0,4.0,1.0,1.0,5.0,3.0,3.0,4.0,0.0
2020-04-25,0.0,1.0,2.0,7.0,0.0,2.0,0.0,1.0,0.0,0.0
2020-04-26,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0
2020-04-27,1.0,1.0,3.0,4.0,2.0,3.0,0.0,1.0,3.0,0.0
2020-04-28,0.0,1.0,4.0,6.0,3.0,5.0,2.0,1.0,1.0,0.0
2020-04-29,1.0,0.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0
2020-04-30,0.0,3.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0
2020-05-01,1.0,0.0,4.0,3.0,1.0,3.0,3.0,2.0,0.0,0.0
2020-05-02,1.0,1.0,1.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0
2020-05-03,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-04,0.0,0.0,1.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0
2020-05-05,1.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0
2020-05-06,1.0,1.0,4.0,7.0,3.0,2.0,1.0,0.0,0.0,0.0
2020-05-07,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
2020-05-08,1.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,2.0,0.0
2020-05-09,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0
2020-05-10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-05-11,0.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-05-12,0.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0
2020-05-13,0.0,3.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
2020-05-14,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
2020-05-15,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2020-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2020-05-18,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-05-19,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2020-05-20,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2020-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-22,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-05-23,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0
2020-05-24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2020-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-26,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-05-27,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2020-05-28,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-29,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-05-30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-31,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-02,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2020-06-03,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-06-04,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-06-05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-06-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-07,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-08,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-06-09,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2020-06-10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-06-11,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-12,1.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0
2020-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-15,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
2020-06-16,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0
2020-06-17,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0
2020-06-18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-06-19,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2020-06-20,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-06-21,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-22,1.0,0.0,5.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0
2020-06-23,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2020-06-24,0.0,0.0,1.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0
2020-06-25,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2020-06-26,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0
2020-06-27,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2020-06-28,0.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0
2020-06-29,0.0,1.0,7.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0
2020-06-30,1.0,0.0,2.0,5.0,5.0,1.0,2.0,0.0,1.0,0.0
2020-07-01,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0
2020-07-02,1.0,6.0,8.0,2.0,2.0,5.0,2.0,0.0,0.0,0.0
2020-07-03,0.0,3.0,4.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0
2020-07-04,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-05,0.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0
2020-07-06,0.0,1.0,4.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0
2020-07-07,0.0,2.0,4.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0
2020-07-08,0.0,0.0,3.0,5.0,4.0,3.0,0.0,1.0,0.0,0.0
2020-07-09,0.0,0.0,2.0,3.0,3.0,0.0,4.0,0.0,0.0,0.0
2020-07-10,1.0,2.0,1.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0
2020-07-11,0.0,2.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0
2020-07-12,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0
2020-07-13,0.0,0.0,1.0,4.0,3.0,3.0,2.0,0.0,1.0,0.0
2020-07-14,0.0,3.0,4.0,5.0,3.0,1.0,2.0,1.0,1.0,0.0
2020-07-15,0.0,1.0,5.0,4.0,2.0,2.0,3.0,1.0,0.0,0.0
2020-07-16,0.0,0.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,0.0
2020-07-17,2.0,0.0,2.0,5.0,3.0,2.0,2.0,0.0,0.0,0.0
2020-07-18,0.0,1.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0
2020-07-19,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-20,0.0,0.0,2.0,4.0,5.0,1.0,2.0,0.0,0.0,0.0
2020-07-21,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
2020-07-22,0.0,1.0,3.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0
2020-07-23,0.0,0.0,3.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0
2020-07-24,0.0,1.0,5.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0
2020-07-25,0.0,0.0,3.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0
2020-07-26,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-07-27,0.0,1.0,7.0,10.0,1.0,2.0,1.0,0.0,0.0,0.0
2020-07-28,1.0,2.0,14.0,7.0,4.0,1.0,0.0,1.0,0.0,0.0
2020-07-29,1.0,3.0,15.0,2.0,7.0,9.0,4.0,1.0,0.0,0.0
2020-07-30,0.0,2.0,7.0,5.0,1.0,6.0,1.0,1.0,0.0,0.0
2020-07-31,0.0,2.0,8.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0
2020-08-01,0.0,3.0,6.0,7.0,4.0,2.0,4.0,1.0,1.0,0.0
2020-08-02,0.0,5.0,0.0,2.0,3.0,1.0,3.0,0.0,1.0,0.0
2020-08-03,0.0,2.0,4.0,5.0,2.0,5.0,2.0,0.0,1.0,0.0
2020-08-04,0.0,1.0,3.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0
2020-08-05,0.0,3.0,6.0,4.0,2.0,3.0,1.0,0.0,0.0,0.0
2020-08-06,0.0,1.0,9.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0
2020-08-07,0.0,3.0,7.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0
2020-08-08,0.0,1.0,9.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0
2020-08-09,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-10,0.0,2.0,15.0,4.0,3.0,1.0,0.0,1.0,1.0,0.0
2020-08-11,0.0,4.0,9.0,5.0,2.0,1.0,3.0,1.0,0.0,0.0
2020-08-12,1.0,1.0,11.0,7.0,2.0,1.0,0.0,0.0,1.0,0.0
2020-08-13,0.0,2.0,15.0,10.0,5.0,3.0,2.0,0.0,1.0,0.0
2020-08-14,0.0,0.0,16.0,5.0,1.0,2.0,0.0,1.0,0.0,0.0
2020-08-15,0.0,0.0,8.0,5.0,2.0,6.0,0.0,1.0,3.0,0.0
2020-08-16,0.0,1.0,8.0,5.0,2.0,2.0,1.0,0.0,0.0,0.0
2020-08-17,0.0,5.0,10.0,10.0,7.0,2.0,0.0,1.0,1.0,0.0
2020-08-18,0.0,6.0,17.0,11.0,4.0,5.0,2.0,2.0,1.0,0.0
2020-08-19,0.0,3.0,27.0,12.0,3.0,4.0,1.0,0.0,0.0,0.0
2020-08-20,0.0,9.0,37.0,12.0,5.0,7.0,5.0,0.0,1.0,0.0
2020-08-21,0.0,9.0,26.0,15.0,4.0,3.0,2.0,2.0,4.0,0.0
2020-08-22,1.0,8.0,14.0,10.0,3.0,4.0,3.0,1.0,1.0,0.0
2020-08-23,0.0,6.0,9.0,6.0,7.0,1.0,2.0,0.0,0.0,0.0
2020-08-24,1.0,5.0,30.0,16.0,6.0,4.0,2.0,3.0,2.0,0.0
2020-08-25,0.0,5.0,38.0,13.0,8.0,2.0,4.0,1.0,1.0,0.0
